arquivo,timestamp_s,timecode,tipo
0045_00-03-12_325.jpg,192.325,00-03-12.325,corte
0046_00-03-14_528.jpg,194.528,00-03-14.528,corte
0047_00-03-17_531.jpg,197.531,00-03-17.531,corte
0048_00-03-30_500.jpg,210.500,00-03-30.500,suave
0049_00-03-35_882.jpg,215.882,00-03-35.882,corte
0050_00-03-38_018.jpg,218.018,00-03-38.018,corte
0051_00-03-42_622.jpg,222.622,00-03-42.622,corte
0052_00-03-43_590.jpg,223.590,00-03-43.590,corte
0053_00-03-55_202.jpg,235.202,00-03-55.202,corte
0054_00-04-13_120.jpg,253.120,00-04-13.120,corte
0055_00-04-16_000.jpg,256.000,00-04-16.000,suave
0056_00-04-19_500.jpg,259.500,00-04-19.500,suave
0057_00-04-20_961.jpg,260.961,00-04-20.961,corte
0058_00-04-23_997.jpg,263.997,00-04-23.997,corte
0059_00-04-27_750.jpg,267.750,00-04-27.750,suave
0060_00-04-29_569.jpg,269.569,00-04-29.569,corte
0061_00-04-30_904.jpg,270.904,00-04-30.904,corte
0062_00-04-37_577.jpg,277.577,00-04-37.577,corte
0063_00-04-41_248.jpg,281.248,00-04-41.248,corte
0064_00-04-43_884.jpg,283.884,00-04-43.884,corte
0065_00-04-45_452.jpg,285.452,00-04-45.452,corte
0066_00-04-48_255.jpg,288.255,00-04-48.255,corte
0067_00-04-51_691.jpg,291.691,00-04-51.691,corte
0068_00-04-52_626.jpg,292.626,00-04-52.626,corte
0069_00-05-00_800.jpg,300.800,00-05-00.800,corte
0070_00-05-04_750.jpg,304.750,00-05-04.750,suave
0071_00-05-06_473.jpg,306.473,00-05-06.473,corte
0072_00-05-07_174.jpg,307.174,00-05-07.174,corte
0073_00-05-07_808.jpg,307.808,00-05-07.808,corte
0074_00-05-09_075.jpg,309.075,00-05-09.075,corte
0075_00-05-12_612.jpg,312.612,00-05-12.612,corte
0076_00-05-16_983.jpg,316.983,00-05-16.983,corte
0077_00-05-19_152.jpg,319.152,00-05-19.152,corte
0078_00-05-20_820.jpg,320.820,00-05-20.820,corte
0079_00-05-23_523.jpg,323.523,00-05-23.523,corte
0080_00-05-27_250.jpg,327.250,00-05-27.250,suave
0081_00-05-31_364.jpg,331.364,00-05-31.364,corte
0082_00-05-33_834.jpg,333.834,00-05-33.834,corte
0083_00-05-37_170.jpg,337.170,00-05-37.170,corte
0084_00-05-40_273.jpg,340.273,00-05-40.273,corte
0085_00-05-42_809.jpg,342.809,00-05-42.809,corte
0086_00-05-48_982.jpg,348.982,00-05-48.982,corte
0087_00-05-52_118.jpg,352.118,00-05-52.118,corte
0088_00-05-54_688.jpg,354.688,00-05-54.688,corte
0089_00-05-56_156.jpg,356.156,00-05-56.156,corte
0090_00-05-56_957.jpg,356.957,00-05-56.957,corte
0091_00-05-58_158.jpg,358.158,00-05-58.158,corte
0092_00-05-59_292.jpg,359.292,00-05-59.292,corte
0093_00-06-00_427.jpg,360.427,00-06-00.427,corte
0094_00-06-01_461.jpg,361.461,00-06-01.461,corte
0095_00-06-02_662.jpg,362.662,00-06-02.662,corte
0096_00-06-03_830.jpg,363.830,00-06-03.830,corte
0097_00-06-06_299.jpg,366.299,00-06-06.299,corte
0098_00-06-10_103.jpg,370.103,00-06-10.103,corte
0099_00-06-11_004.jpg,371.004,00-06-11.004,corte
0100_00-06-12_005.jpg,372.005,00-06-12.005,corte
0101_00-06-15_408.jpg,375.408,00-06-15.408,corte
0102_00-06-19_279.jpg,379.279,00-06-19.279,corte
0103_00-06-24_000.jpg,384.000,00-06-24.000,suave
0104_00-06-27_954.jpg,387.954,00-06-27.954,corte
0105_00-06-31_024.jpg,391.024,00-06-31.024,corte
0106_00-06-32_192.jpg,392.192,00-06-32.192,corte
0107_00-06-36_463.jpg,396.463,00-06-36.463,corte
0108_00-06-38_331.jpg,398.331,00-06-38.331,corte
0109_00-06-40_166.jpg,400.166,00-06-40.166,corte
0110_00-06-44_704.jpg,404.704,00-06-44.704,corte
0111_00-06-53_113.jpg,413.113,00-06-53.113,corte
0112_00-06-57_000.jpg,417.000,00-06-57.000,suave
0113_00-06-59_052.jpg,419.052,00-06-59.052,corte
0114_00-06-59_986.jpg,419.986,00-06-59.986,corte
0115_00-07-01_788.jpg,421.788,00-07-01.788,corte
0116_00-07-04_557.jpg,424.557,00-07-04.557,corte
0117_00-07-10_500.jpg,430.500,00-07-10.500,suave
0118_00-07-15_201.jpg,435.201,00-07-15.201,corte
0119_00-07-16_569.jpg,436.569,00-07-16.569,corte
0120_00-07-32_052.jpg,452.052,00-07-32.052,corte
0121_00-07-34_988.jpg,454.988,00-07-34.988,corte
0122_00-07-37_957.jpg,457.957,00-07-37.957,corte
0123_00-07-40_026.jpg,460.026,00-07-40.026,corte
0124_00-07-42_429.jpg,462.429,00-07-42.429,corte
0125_00-07-44_097.jpg,464.097,00-07-44.097,corte
0126_00-07-45_332.jpg,465.332,00-07-45.332,corte
0127_00-07-47_467.jpg,467.467,00-07-47.467,corte
0128_00-07-49_002.jpg,469.002,00-07-49.002,corte
